	id	name	is_closed	latitude	longitude	address	rating	categories
6048	mBOIef7a4hONEbSi_ai8Bw	Beast Pizza	False	43.64408	-79.40578	96 Tecumseth Street	4.0	Pizza
6049	1pXyaPUXMqZyxW1Ew7BLUg	Guirei Japanese Restaurant	False	43.6366084	-79.3973546	600 Queens Quay W	3.5	Japanese
6050	AHeilK8QgEn6on7tGFVYnQ	Roywoods	False	43.6391084709305	-79.3984367698431	121 Fort York Boulevard	3.5	Caribbean
6051	37kk0IW6jL7ZlxZF6k2QBg	Edulis	False	43.64195961518665	-79.4065795	169 Niagara Street	4.0	Spanish
6052	_Ar0rDN_xp9chIrCfRQ6vw	Ruby Soho	False	43.64423	-79.40015	587 King St W	4.0	American (Traditional)
6053	vMOvHfVMYL2V_X-L5ryNtQ	1 Kitchen Toronto	False	43.64313343486211	-79.40199552534189	550 Wellington Street W	4.5	Cocktail Bars
6054	mG71gQ5HWl7ut9OCN6NJKA	360 Restaurant	False	43.642768093479	-79.3870997428894	CN Tower	3.5	Canadian (New)
6055	DIVF4oo86EGupm5CC60sZg	Hunters Landing	False	43.64002	-79.39673	82 Fort York Blvd	3.5	Comfort Food
6056	0-k_-9YoWXpmtiaLdKeQJQ	The Rec Room	False	43.64125720750635	-79.38677926085168	255 Bremner Boulevard	3.0	Arcades
6057	2i0dDzxLuQQAwzxDZVR-1g	Oretta	False	43.64392	-79.40163	633 King Street W	3.5	Italian
6058	F7a3r2prtF5EvlfLv3clog	The Parlour	False	43.6444882	-79.4015886	642 King St W	4.0	Pizza
6059	Y9Jo_cT2DmcSEUkxUSz3CQ	Scooped by Demetres	False	43.63907	-79.39817	113 Fort York Boulevard	4.5	Ice Cream & Frozen Yogurt
6060	_7HjUKqU5GQOQirnZzRgWA	Sportsnet Grill	False	43.642222906459	-79.3895409044114	1 Blue Jays Way	4.0	Breakfast & Brunch
6061	r_BrIgzYcwo1NAuG9dLbpg	Pai Northern Thai Kitchen	False	43.64784	-79.38872	18 Duncan Street	4.5	Thai
6062	2xw-Ksu9b2jDYlZaApXcBA	Indian Roti House	False	43.6394	-79.38546	256 Queens Quay W	4.0	Indian
6063	EhGPj8iJDIdaHnWg9d5BgA	Pearl Harbourfront Chinese Cuisine	False	43.63877	-79.3806	207 Queens Quay W	3.5	Dim Sum
6064	V9qjoWogqqMWvFFpuASRYw	Evviva Breakfast & Lunch	False	43.641602	-79.383301	25 Lower Simcoe	4.0	Breakfast & Brunch
6065	Yl2TN9c23ZGLUBSD9ks5Uw	Byblos	False	43.647546	-79.388123	11 Duncan Street	4.5	Mediterranean
6066	D1lAVtlav4atQTJnIvtcpw	Taverna Mercatto	False	43.6426722096442	-79.3827601467308	120 Bremner Boulevard	3.5	Italian
6067	0a2O150ytxrDjDzXNfRWkA	Miku	False	43.6412346	-79.3773697	105-10 Bay Street	4.0	Japanese
6068	0-k_-9YoWXpmtiaLdKeQJQ	The Rec Room	False	43.64125720750635	-79.38677926085168	255 Bremner Boulevard	3.0	Arcades
6069	0gbHHzaHkNniR2VU8jQ3dA	KINKA IZAKAYA HARBOURFRONT	False	43.64157	-79.37978	110 Harbour Street	4.0	Japanese
6070	mG71gQ5HWl7ut9OCN6NJKA	360 Restaurant	False	43.642768093479	-79.3870997428894	CN Tower	3.5	Canadian (New)
6071	9eu2lQMROTKdrPyGkwZLYw	SOCO Kitchen + Bar	False	43.6426531322953	-79.3838465349876	75 Lower Simcoe Street	3.5	Bars
6072	SNHRPLtAnxLxnin2behylQ	Steam Whistle Biergarten	False	43.640853	-79.385279	255 Bremner Boulevard	4.5	German
6073	FJMMPL3pxAPYGEPB0Hwlhw	TOCA	False	43.6453201	-79.3871017	181 Wellington Street W	4.0	Italian
6074	JMiaNitMzMbJm6Kh0RbT5A	Canoe	False	43.646954	-79.382159	66 Wellington Street  W	4.0	Canadian (New)
6075	aLcFhMe6DDJ430zelCpd2A	Khao San Road	False	43.646412027881496	-79.39361985450327	11 Charlotte Street	4.0	Thai
6076	3VHJGvjHeEki7Hiyt-Hv5g	BeaverTails	False	43.63980158676657	-79.38012714543224	145 Queen's Quay W	4.0	Desserts
